onetsoccode,title,teleworkable
33-9031.00,Gaming Surveillance Officers and Gaming Investigators,1
33-9032.00,Security Guards,0
33-9091.00,Crossing Guards,0
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0
33-9093.00,Transportation Security Screeners,0
33-9099.02,Retail Loss Prevention Specialists,1
35-1011.00,Chefs and Head Cooks,0
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,0
35-2011.00,"Cooks, Fast Food",0
35-2012.00,"Cooks, Institution and Cafeteria",0
35-2013.00,"Cooks, Private Household",1
35-2014.00,"Cooks, Restaurant",0
35-2015.00,"Cooks, Short Order",0
35-2021.00,Food Preparation Workers,0
35-3011.00,Bartenders,0
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",0
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0
35-3022.01,Baristas,0
35-3031.00,Waiters and Waitresses,0
35-3041.00,"Food Servers, Nonrestaurant",0
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,0
35-9021.00,Dishwashers,0
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,0
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0
37-2012.00,Maids and Housekeeping Cleaners,0
37-2021.00,Pest Control Workers,0
37-3011.00,Landscaping and Groundskeeping Workers,0
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0
37-3013.00,Tree Trimmers and Pruners,0
39-1011.00,Gaming Supervisors,0
39-1012.00,Slot Supervisors,0
39-1021.00,First-Line Supervisors of Personal Service Workers,1
39-1021.01,Spa Managers,0
39-2011.00,Animal Trainers,0
39-2021.00,Nonfarm Animal Caretakers,0
39-3011.00,Gaming Dealers,1
39-3012.00,Gaming and Sports Book Writers and Runners,0
39-3021.00,Motion Picture Projectionists,0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",1
39-3091.00,Amusement and Recreation Attendants,0
39-3092.00,Costume Attendants,0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",0
39-4011.00,Embalmers,0
39-4021.00,Funeral Attendants,0
39-4031.00,"Morticians, Undertakers, and Funeral Directors",0
39-5011.00,Barbers,0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",0
39-5091.00,"Makeup Artists, Theatrical and Performance",1
39-5092.00,Manicurists and Pedicurists,0
39-5093.00,Shampooers,0
39-5094.00,Skincare Specialists,0
39-6011.00,Baggage Porters and Bellhops,0
39-6012.00,Concierges,0
39-7011.00,Tour Guides and Escorts,0
39-7012.00,Travel Guides,0
39-9011.00,Childcare Workers,1
39-9011.01,Nannies,1
39-9021.00,Personal Care Aides,0
39-9031.00,Fitness Trainers and Aerobics Instructors,0
39-9032.00,Recreation Workers,1
39-9041.00,Residential Advisors,1
41-1011.00,First-Line Supervisors of Retail Sales Workers,0
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,1
41-2011.00,Cashiers,0
41-2012.00,Gaming Change Persons and Booth Cashiers,0
41-2021.00,Counter and Rental Clerks,0
41-2022.00,Parts Salespersons,0
41-2031.00,Retail Salespersons,0
41-3011.00,Advertising Sales Agents,0
41-3021.00,Insurance Sales Agents,1
41-3031.01,"Sales Agents, Securities and Commodities",1
41-3031.02,"Sales Agents, Financial Services",1
41-3031.03,Securities and Commodities Traders,1
41-3041.00,Travel Agents,0
41-3099.01,Energy Brokers,1
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1
41-4011.07,Solar Sales Representatives and Assessors,1
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1
41-9011.00,Demonstrators and Product Promoters,0
41-9012.00,Models,1
41-9021.00,Real Estate Brokers,1
41-9022.00,Real Estate Sales Agents,0
41-9031.00,Sales Engineers,1
41-9041.00,Telemarketers,1
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",0
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,1
43-2011.00,"Switchboard Operators, Including Answering Service",1
43-2021.00,Telephone Operators,0
43-3011.00,Bill and Account Collectors,1
43-3021.01,Statement Clerks,0
43-3021.02,"Billing, Cost, and Rate Clerks",1
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",1
43-3041.00,Gaming Cage Workers,0
43-3051.00,Payroll and Timekeeping Clerks,1
43-3061.00,Procurement Clerks,1
43-3071.00,Tellers,0
43-4011.00,Brokerage Clerks,1
43-4021.00,Correspondence Clerks,1
43-4031.01,Court Clerks,1
43-4031.02,Municipal Clerks,0
43-4031.03,License Clerks,0
43-4041.01,Credit Authorizers,1
43-4041.02,Credit Checkers,1
43-4051.00,Customer Service Representatives,1
43-4051.03,Patient Representatives,0
43-4061.00,"Eligibility Interviewers, Government Programs",0
43-4071.00,File Clerks,1
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",0
43-4111.00,"Interviewers, Except Eligibility and Loan",1
43-4121.00,"Library Assistants, Clerical",0
43-4131.00,Loan Interviewers and Clerks,0
43-4141.00,New Accounts Clerks,0
43-4151.00,Order Clerks,1
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",1
43-4171.00,Receptionists and Information Clerks,0
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,0
43-5011.00,Cargo and Freight Agents,1
43-5011.01,Freight Forwarders,1
43-5021.00,Couriers and Messengers,1
43-5031.00,"Police, Fire, and Ambulance Dispatchers",0
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",1
43-5041.00,"Meter Readers, Utilities",0
43-5051.00,Postal Service Clerks,0
43-5052.00,Postal Service Mail Carriers,0
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0
43-5061.00,"Production, Planning, and Expediting Clerks",0
43-5071.00,"Shipping, Receiving, and Traffic Clerks",0
43-5081.01,"Stock Clerks, Sales Floor",0
43-5081.02,Marking Clerks,1
43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",0
43-5081.04,"Order Fillers, Wholesale and Retail Sales",0
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0
43-6011.00,Executive Secretaries and Executive Administrative Assistants,1
43-6012.00,Legal Secretaries,1
43-6013.00,Medical Secretaries,1
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1
43-9011.00,Computer Operators,1
43-9021.00,Data Entry Keyers,1
43-9022.00,Word Processors and Typists,1
43-9031.00,Desktop Publishers,1
43-9041.01,Insurance Claims Clerks,1
43-9041.02,Insurance Policy Processing Clerks,1
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",1
43-9061.00,"Office Clerks, General",1
43-9071.00,"Office Machine Operators, Except Computer",1
43-9081.00,Proofreaders and Copy Markers,1
43-9111.00,Statistical Assistants,1
43-9111.01,Bioinformatics Technicians,1
45-1011.05,First-Line Supervisors of Logging Workers,0
45-1011.06,First-Line Supervisors of Aquacultural Workers,0
45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers,1
45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,0
45-2011.00,Agricultural Inspectors,0
45-2021.00,Animal Breeders,0
45-2041.00,"Graders and Sorters, Agricultural Products",0
45-2091.00,Agricultural Equipment Operators,0
45-2092.01,Nursery Workers,0
45-2092.02,"Farmworkers and Laborers, Crop",0
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0
45-3011.00,Fishers and Related Fishing Workers,0
45-3021.00,Hunters and Trappers,0
45-4011.00,Forest and Conservation Workers,0
45-4021.00,Fallers,0
45-4022.00,Logging Equipment Operators,0
45-4023.00,Log Graders and Scalers,0
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,0
47-1011.03,Solar Energy Installation Managers,0
47-2011.00,Boilermakers,0
47-2021.00,Brickmasons and Blockmasons,0
47-2022.00,Stonemasons,0
47-2031.01,Construction Carpenters,0
47-2031.02,Rough Carpenters,0
47-2041.00,Carpet Installers,0
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",0
47-2043.00,Floor Sanders and Finishers,0
47-2044.00,Tile and Marble Setters,0
47-2051.00,Cement Masons and Concrete Finishers,0
47-2053.00,Terrazzo Workers and Finishers,0
47-2061.00,Construction Laborers,0
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",0
47-2072.00,Pile-Driver Operators,0
47-2073.00,Operating Engineers and Other Construction Equipment Operators,0
47-2081.00,Drywall and Ceiling Tile Installers,0
47-2082.00,Tapers,0
47-2111.00,Electricians,0
47-2121.00,Glaziers,0
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",0
47-2132.00,"Insulation Workers, Mechanical",0
47-2141.00,"Painters, Construction and Maintenance",0
47-2142.00,Paperhangers,0
47-2151.00,Pipelayers,0
47-2152.01,Pipe Fitters and Steamfitters,0
47-2152.02,Plumbers,0
47-2161.00,Plasterers and Stucco Masons,0
47-2171.00,Reinforcing Iron and Rebar Workers,0
47-2181.00,Roofers,0
47-2211.00,Sheet Metal Workers,0
47-2221.00,Structural Iron and Steel Workers,0
47-2231.00,Solar Photovoltaic Installers,0
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0
47-3012.00,Helpers--Carpenters,0
47-3013.00,Helpers--Electricians,0
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0
47-3016.00,Helpers--Roofers,0
47-4011.00,Construction and Building Inspectors,0
47-4021.00,Elevator Installers and Repairers,0
47-4031.00,Fence Erectors,0
47-4041.00,Hazardous Materials Removal Workers,0
47-4051.00,Highway Maintenance Workers,0
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,0
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,0
47-4091.00,Segmental Pavers,0
47-4099.02,Solar Thermal Installers and Technicians,1
47-4099.03,Weatherization Installers and Technicians,0
47-5011.00,"Derrick Operators, Oil and Gas",0
47-5012.00,"Rotary Drill Operators, Oil and Gas",0
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",0
47-5021.00,"Earth Drillers, Except Oil and Gas",0
47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",0
47-5041.00,Continuous Mining Machine Operators,0
47-5042.00,Mine Cutting and Channeling Machine Operators,0
47-5051.00,"Rock Splitters, Quarry",0
47-5061.00,"Roof Bolters, Mining",0
47-5071.00,"Roustabouts, Oil and Gas",0
47-5081.00,Helpers--Extraction Workers,0
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",0
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",0
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",0
49-2021.01,Radio Mechanics,0
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0
49-2091.00,Avionics Technicians,0
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",0
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",0
49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,0
49-2098.00,Security and Fire Alarm Systems Installers,0
49-3011.00,Aircraft Mechanics and Service Technicians,0
49-3021.00,Automotive Body and Related Repairers,0
49-3022.00,Automotive Glass Installers and Repairers,0
49-3023.01,Automotive Master Mechanics,0
49-3023.02,Automotive Specialty Technicians,0
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,0
49-3041.00,Farm Equipment Mechanics and Service Technicians,0
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",0
49-3043.00,Rail Car Repairers,0
49-3051.00,Motorboat Mechanics and Service Technicians,0
49-3052.00,Motorcycle Mechanics,0
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,0
49-3091.00,Bicycle Repairers,0
49-3092.00,Recreational Vehicle Service Technicians,0
49-3093.00,Tire Repairers and Changers,0
49-9011.00,Mechanical Door Repairers,0
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",0
49-9021.01,Heating and Air Conditioning Mechanics and Installers,0
49-9021.02,Refrigeration Mechanics and Installers,0
49-9031.00,Home Appliance Repairers,0
49-9041.00,Industrial Machinery Mechanics,0
49-9043.00,"Maintenance Workers, Machinery",0
49-9044.00,Millwrights,0
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",0
49-9051.00,Electrical Power-Line Installers and Repairers,0
49-9052.00,Telecommunications Line Installers and Repairers,0
49-9061.00,Camera and Photographic Equipment Repairers,0
49-9062.00,Medical Equipment Repairers,0
49-9063.00,Musical Instrument Repairers and Tuners,0
49-9064.00,Watch Repairers,0
49-9071.00,"Maintenance and Repair Workers, General",0
49-9081.00,Wind Turbine Service Technicians,0
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",1
49-9092.00,Commercial Divers,0
49-9093.00,"Fabric Menders, Except Garment",0
49-9094.00,Locksmiths and Safe Repairers,0
49-9095.00,Manufactured Building and Mobile Home Installers,0
49-9096.00,Riggers,0
49-9097.00,Signal and Track Switch Repairers,0
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",0
49-9099.01,Geothermal Technicians,0
51-1011.00,First-Line Supervisors of Production and Operating Workers,0
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0
51-2021.00,"Coil Winders, Tapers, and Finishers",0
51-2022.00,Electrical and Electronic Equipment Assemblers,0
51-2023.00,Electromechanical Equipment Assemblers,0
51-2031.00,Engine and Other Machine Assemblers,0
51-2041.00,Structural Metal Fabricators and Fitters,0
51-2091.00,Fiberglass Laminators and Fabricators,0
51-2092.00,Team Assemblers,0
51-2093.00,Timing Device Assemblers and Adjusters,0
51-3011.00,Bakers,0
51-3021.00,Butchers and Meat Cutters,0
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",0
51-3023.00,Slaughterers and Meat Packers,0
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0
51-3092.00,Food Batchmakers,0
51-3093.00,Food Cooking Machine Operators and Tenders,0
51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",0
51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0
51-4041.00,Machinists,0
51-4051.00,Metal-Refining Furnace Operators and Tenders,0
51-4052.00,"Pourers and Casters, Metal",0
51-4061.00,"Model Makers, Metal and Plastic",0
51-4062.00,"Patternmakers, Metal and Plastic",0
51-4071.00,Foundry Mold and Coremakers,0
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0
51-4111.00,Tool and Die Makers,0
51-4121.06,"Welders, Cutters, and Welder Fitters",0
51-4121.07,Solderers and Brazers,0
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0
51-4192.00,"Layout Workers, Metal and Plastic",0
51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",0
51-4194.00,"Tool Grinders, Filers, and Sharpeners",0
51-5111.00,Prepress Technicians and Workers,1
51-5112.00,Printing Press Operators,0
51-5113.00,Print Binding and Finishing Workers,0
51-6011.00,Laundry and Dry-Cleaning Workers,0
51-6021.00,"Pressers, Textile, Garment, and Related Materials",0
51-6031.00,Sewing Machine Operators,0
51-6041.00,Shoe and Leather Workers and Repairers,0
51-6042.00,Shoe Machine Operators and Tenders,0
51-6051.00,"Sewers, Hand",0
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",0
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,0
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",0
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0
51-6092.00,Fabric and Apparel Patternmakers,1
51-6093.00,Upholsterers,0
51-7011.00,Cabinetmakers and Bench Carpenters,0
51-7021.00,Furniture Finishers,0
51-7031.00,"Model Makers, Wood",0
51-7032.00,"Patternmakers, Wood",0
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",0
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0
51-8011.00,Nuclear Power Reactor Operators,0
51-8012.00,Power Distributors and Dispatchers,0
51-8013.00,Power Plant Operators,0
51-8021.00,Stationary Engineers and Boiler Operators,0
51-8031.00,Water and Wastewater Treatment Plant and System Operators,0
51-8091.00,Chemical Plant and System Operators,0
51-8092.00,Gas Plant Operators,0
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0
51-8099.01,Biofuels Processing Technicians,0
51-8099.03,Biomass Plant Technicians,0
51-8099.04,Hydroelectric Plant Technicians,0
51-9011.00,Chemical Equipment Operators and Tenders,0
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0
51-9022.00,"Grinding and Polishing Workers, Hand",0
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",0
51-9031.00,"Cutters and Trimmers, Hand",0
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",0
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",0
51-9071.01,Jewelers,0
51-9071.06,Gem and Diamond Workers,1
51-9071.07,Precious Metal Workers,0
51-9081.00,Dental Laboratory Technicians,0
51-9082.00,Medical Appliance Technicians,0
51-9083.00,Ophthalmic Laboratory Technicians,1
51-9111.00,Packaging and Filling Machine Operators and Tenders,0
51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0
51-9122.00,"Painters, Transportation Equipment",0
51-9123.00,"Painting, Coating, and Decorating Workers",1
51-9141.00,Semiconductor Processors,0
51-9151.00,Photographic Process Workers and Processing Machine Operators,0
51-9191.00,Adhesive Bonding Machine Operators and Tenders,0
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,0
51-9194.00,Etchers and Engravers,0
51-9195.03,"Stone Cutters and Carvers, Manufacturing",0
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",0
51-9195.05,"Potters, Manufacturing",0
51-9195.07,Molding and Casting Workers,0
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",0
51-9197.00,Tire Builders,0
51-9198.00,Helpers--Production Workers,0
51-9199.01,Recycling and Reclamation Workers,0
53-1011.00,Aircraft Cargo Handling Supervisors,0
53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",1
53-1021.01,Recycling Coordinators,0
53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,1
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",0
53-2012.00,Commercial Pilots,0
53-2021.00,Air Traffic Controllers,1
53-2022.00,Airfield Operations Specialists,0
53-2031.00,Flight Attendants,0
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0
53-3021.00,"Bus Drivers, Transit and Intercity",0
53-3022.00,"Bus Drivers, School or Special Client",0
53-3031.00,Driver/Sales Workers,0
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,0
53-3033.00,Light Truck or Delivery Services Drivers,0
53-3041.00,Taxi Drivers and Chauffeurs,0
53-4011.00,Locomotive Engineers,0
53-4012.00,Locomotive Firers,0
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0
53-4021.00,"Railroad Brake, Signal, and Switch Operators",0
53-4031.00,Railroad Conductors and Yardmasters,0
53-4041.00,Subway and Streetcar Operators,0
53-5011.00,Sailors and Marine Oilers,0
53-5021.01,Ship and Boat Captains,0
53-5021.02,"Mates- Ship, Boat, and Barge",0
53-5021.03,"Pilots, Ship",0
53-5022.00,Motorboat Operators,0
53-5031.00,Ship Engineers,0
53-6011.00,Bridge and Lock Tenders,0
53-6021.00,Parking Lot Attendants,0
53-6031.00,Automotive and Watercraft Service Attendants,0
53-6041.00,Traffic Technicians,0
53-6051.01,Aviation Inspectors,0
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",0
53-6051.08,Freight and Cargo Inspectors,0
53-6061.00,"Transportation Attendants, Except Flight Attendants",0
53-7011.00,Conveyor Operators and Tenders,0
53-7021.00,Crane and Tower Operators,0
53-7031.00,Dredge Operators,0
53-7032.00,Excavating and Loading Machine and Dragline Operators,0
53-7033.00,"Loading Machine Operators, Underground Mining",0
53-7041.00,Hoist and Winch Operators,0
53-7051.00,Industrial Truck and Tractor Operators,0
53-7061.00,Cleaners of Vehicles and Equipment,0
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",0
53-7063.00,Machine Feeders and Offbearers,0
53-7064.00,"Packers and Packagers, Hand",0
53-7071.00,Gas Compressor and Gas Pumping Station Operators,0
53-7072.00,"Pump Operators, Except Wellhead Pumpers",0
53-7073.00,Wellhead Pumpers,0
53-7081.00,Refuse and Recyclable Material Collectors,0
53-7111.00,Mine Shuttle Car Operators,0
53-7121.00,"Tank Car, Truck, and Ship Loaders",0
